"Name","Team","G","GS","IP","K.","BB.","HR.9","BABIP","LOB.","GB.","LD.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","Start.IP","Relief.IP","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date","url"
"Jesse Chavez","ATL",1,0,1.1,0.167,0,0,0.4,1,0.8,0.2,0,0,83.5,1.5,0,2.49,2.49,0.67,0,NA,1.1,0.267,0.667,0.125,0.375,0,0.2,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Huascar Brazoban","MIA",1,0,2,0.3,0,0,0.5,1,0.8,0.2,0,0,84.1,1.5,0,2.49,2.49,1.22,0,NA,2,0.318,0.4,0.135,0.405,0,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Trevor May","OAK",1,0,1,0.2,0.2,0,0.333,1,0.333,0.333,0.333,0,99,2,0,4.99,6.26,5.98,0,NA,1,0.417,0.4,0.118,0.294,0,0.667,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Collin McHugh","ATL",1,0,1.2,0.143,0.286,0,0,1,0.5,0,0.5,0,95.9,1.2,0,6.39,7.92,8.48,-0.1,NA,1.2,0.333,0.857,0.12,0.375,0,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"David Robertson","NYM",1,0,1,0.667,0,0,0,1,0,0,1,0,94.7,0,0,-0.01,1.26,0.03,0.1,NA,1,0.333,0.333,0.188,0.438,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Brooks Raley","NYM",1,0,1,0.667,0,0,0,1,1,0,0,0,62.2,0,0,-0.01,-0.01,-0.3,0.1,NA,1,0.5,1,0.083,0.333,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Caleb Thielbar","MIN",1,0,1,0.333,0,0,0,1,0,0,1,0,79.7,0,0,1.99,4.53,4.56,0.1,NA,1,0.25,0.333,0.182,0.636,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Brad Boxberger","CHC",1,0,1,0.333,0.333,0,0,1,1,0,0,0,91.3,1,0,4.99,4.99,6.99,0,NA,1,0.125,0.667,0.143,0.429,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Shelby Miller","LAD",1,0,1,0.333,0,0,0,1,0,0,1,0,96.5,0,0,1.99,4.53,4.56,0,NA,1,0.429,0.667,0.231,0.462,0.5,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Ryan Tepera","LAA",1,0,0.2,0,0.25,0,0.667,1,0.667,0.333,0,0,99.5,4.5,0,8.49,8.49,8.07,-0.1,NA,0.2,0.25,0.25,0,0.273,0,0.667,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Erasmo Ramirez","WSN",1,0,2,0.111,0.111,0,0.286,1,0.857,0,0.143,0,95.2,1.5,0,4.49,5.13,3.56,0,NA,2,0.2,0.667,0.206,0.559,0,0.429,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Andrew Bellatti","PHI",1,0,1,0.5,0.25,0,0,1,1,0,0,0,96.4,1,0,2.99,2.99,3.95,0,NA,1,0.364,0.5,0.235,0.353,0,1,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Chasen Shreve","DET",1,0,1,0.5,0.25,0,0,1,1,0,0,0,81,1,0,2.99,2.99,3.95,0,NA,1,0.417,0.5,0.227,0.455,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Hector Neris","HOU",1,0,1,0.333,0,0,0.5,1,1,0,0,0,100.1,2,0,-0.01,-0.01,0.47,0.1,NA,1,0.4,0.5,0.176,0.412,0,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Chris Martin","BOS",1,0,1,0,0.2,0,0.5,1,0.25,0.75,0,0,92.5,3,0,6.99,6.99,8.41,0,NA,1,0.2,0.8,0,0.667,0,0.75,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Jason Adam","TBR",1,0,1,0,0.25,0,0,1,0.333,0.333,0.333,0,74.4,1,0,6.99,8.26,9.89,0,NA,1,0.417,0.5,0.267,0.2,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Gerrit Cole","NYY",1,1,6,0.5,0.091,0,0.333,1,0.556,0.333,0.111,0,92,0.83,0,1.33,1.54,1.81,0.3,6,NA,0.304,0.818,0.179,0.411,0,0.444,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Derek Law","CIN",1,0,1.2,0.167,0,0,0.2,1,0.2,0.4,0.4,0,86.3,0.6,0,2.79,4.32,4.19,0.1,NA,1.2,0.4,0.667,0.095,0.524,0,0.2,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Michael Fulmer","CHC",1,0,1,0.5,0,0,0.5,1,0.5,0,0.5,0,90.1,1,0,-0.01,1.26,0.67,0,NA,1,1,1,0.267,0.6,0,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Drew VerHagen","STL",1,0,0.2,0.333,0,0,0.5,1,0.5,0.5,0,0,93,1.5,0,0.99,0.99,1.25,0,NA,0.2,0.333,0.667,0.063,0.438,0,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Marcus Stroman","CHC",1,1,6,0.348,0.13,0,0.25,1,0.75,0.167,0.083,0,86.9,1,0,2.83,3.04,3.03,0.2,6,NA,0.262,0.565,0.154,0.315,0,0.333,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"JT Chargois","MIA",1,0,0.2,0,0,0,0,1,1,0,0,0,80.8,0,0,3.99,3.99,-1.07,0,NA,0.2,0.25,1,0.143,0.429,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Matt Strahm","PHI",1,0,1,0.333,0,0,0,1,0.5,0,0.5,0,76.3,0,0,1.99,3.26,1.99,0,NA,1,0.417,0.333,0.25,0.25,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Paul Sewald","SEA",1,0,1,0.333,0,0,0,1,0,0,1,0,70.9,0,0,1.99,4.53,4.56,0,NA,1,0.333,0.667,0.25,0.75,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Wandy Peralta","NYY",1,0,0.2,0.667,0,0,1,1,0,1,0,0,108.9,1.5,0,-2.01,-2.01,-0.14,0,NA,0.2,0.3,0.333,0.214,0.286,0,1,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Amir Garrett","KCR",1,0,0.2,0.2,0.2,0,0.667,1,0,0.667,0.333,0,97.9,4.5,0,5.49,7.4,6.25,0,NA,0.2,0.25,0.4,0.083,0.333,0,0.667,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Jose Leclerc","TEX",1,0,1,0.2,0.2,0,0.333,1,0,0,1,0,75.8,2,0,4.99,8.8,7.97,0,NA,1,0.333,0.6,0.19,0.286,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Jorge Lopez","MIN",1,0,0.2,0.5,0,0,0,1,1,0,0,0,98.6,0,0,0.99,0.99,-0.42,0,NA,0.2,1,1,0.2,0.8,0,1,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Yency Almonte","LAD",1,0,1,0,0,0,0,1,0.333,0,0.667,0,76.9,0,0,3.99,6.53,7.46,0,NA,1,0.333,0.667,0.1,0.7,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Rob Zastryzny","PIT",1,0,1.1,0.25,0,0,0,1,0.333,0,0.667,0,80.6,0,0,2.49,4.4,3.4,0,NA,1.1,0.5,0.5,0.267,0.333,0,0.333,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Adam Cimber","TOR",1,0,1,0,0.25,0,0,1,0.667,0,0.333,0,92.2,1,0,6.99,8.26,9.29,-0.1,NA,1,0,0.5,0,0.364,0,0.333,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Hunter Harvey","WSN",1,0,1,0,0,0,0.25,1,0.5,0.25,0.25,0,94.4,1,0,3.99,5.26,5.26,0,NA,1,0,NA,0,0.667,0.25,0.5,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Kendall Graveman","CHW",1,0,1,0,0,0,0.333,1,0.667,0.333,0,0,89.8,1,0,3.99,3.99,2.42,0,NA,1,0.5,0.667,0,0.455,0,0.667,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Tyler Rogers","SFG",1,0,1,0.25,0,0,0.333,1,0.667,0,0.333,0,89.4,1,0,1.99,3.26,2.28,0,NA,1,0,0.5,0,0.727,0.333,0.667,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Luis Castillo","SEA",1,1,6,0.316,0,0,0.077,1,0.385,0.231,0.385,0,85.5,0.17,0,1.99,3.05,2.52,0.3,6,NA,0.474,0.789,0.171,0.5,0,0.385,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
"Jordan Romano","TOR",1,0,1,0.667,0,0,0,1,1,0,0,0,72.4,0,0,-0.01,-0.01,-0.3,0.1,NA,1,0.5,0.667,0.333,0.5,0,0,2023-03-31,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-03-30&page=1_1000"
