"Team","G","IP","K.","BB.","HR.9","BABIP","LOB.","LD.","GB.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date"
"DET",3,3,0.00555,NA,0,0,NA,0.002,0.002,0,NA,85.7575,0,0,-0.1147,0.8458,0.1123,0.2557,0.00529,0.00666,0.00258,0.00433,NA,0.002,2024-03-29
"NYY",3,4,0.00111,NA,0,0.5,NA,0.0037,0,0.0012,NA,87.7697,2,0,2.2186,2.939,3.1797,0.1579,0.00352,0.00555,0.00063,0.00276,NA,0.0037,2024-03-29
"SDP",4,4,0,NA,2.25,0.2727,0.00384,NA,0.00636,0.00363,0.002,88.1201,1,6.75,4.9686,3.1594,2.7248,0.106,0.0031,0.00866,0.00075,0.00452,0.00083,0.002,2024-03-29
"COL",4,5.2,0.00259,0.00074,0,0.4444,0,0.00222,0,0.00277,NA,91.461,1.7647,9.5294,1.8069,3.0781,3.0055,0.0781,0.00285,0.00592,0.00063,0.00495,NA,0,2024-03-29
"PIT",6,6.1,0.0019,0.00095,0,0.0714,NA,NA,0.00785,0.00214,NA,83.7662,0.4737,0,3.3765,4.059,3.2179,0.0771,0.00586,0.00666,0.00207,0.00452,NA,0.00142,2024-03-29
"SFG",3,2,0.00181,9e-04,0,0.5,0,0.0037,0,0.0012,NA,88.18,2.5,18,2.7186,3.439,3.6976,0.065,0.00363,0.00545,0.00139,0.00232,NA,0.002,2024-03-29
"TOR",3,3,0.00416,0.00083,0,0.3333,NA,0.00333,0.00166,0,NA,89.2355,1,0,0.8853,2.3261,1.8893,0.0617,0.00333,0.00666,0.00196,0.00352,0.00166,0.00666,2024-03-29
"WSN",4,4,0,NA,0,0.1818,0.00666,0.00181,0.00272,0.00545,NA,83.1072,0.5,2.25,2.4686,4.6298,3.6252,0.0544,0.00379,0.00666,0.00145,0.00395,NA,0.00181,2024-03-29
"LAD",1,3,0,NA,0,0.1111,NA,0.00222,0.00111,0.00666,NA,86.1345,0.3333,0,2.552,5.4335,6.5736,0.054,0.002,0,0.00068,0.00545,NA,0.00222,2024-03-29
"BOS",4,4,0.00437,0.00062,2.25,0.2857,0.00769,0.002,0.0037,0.0037,0.00333,90.9109,1,4.5,3.7186,1.5492,1.4031,0.053,0.00333,0.007,0.00169,0.00446,0.0012,0,2024-03-29
"STL",3,3.2,0.00312,0.0012,0,0.3333,0,0.00222,0.00444,0.00333,NA,90.6148,1.3636,4.9091,2.1277,3.3065,3.2481,0.0503,0.00343,0.0062,0.00183,0.00466,NA,0.00333,2024-03-29
"CHW",3,3,0.002,0.00083,0,0.1429,NA,0.00428,0.00571,NA,NA,90.4149,0.6667,0,3.2186,3.2186,2.6601,0.0393,0,0.00666,0.00195,0.00347,NA,0.00428,2024-03-29
"CLE",3,3,0.00222,NA,0,0,NA,0.00142,0.00285,0.00571,NA,93.992,0,0,1.8853,3.8063,3.415,0.0375,0.004,0.00666,0.00105,0.00342,NA,0.00428,2024-03-29
"KCR",3,3,0.00187,0.0012,0,0.4545,0.00714,0.00363,0.00272,0.00363,NA,82.3641,2.3333,6,3.2186,5.1396,4.7728,0.0349,0.002,0.0062,0.00098,0.00344,NA,0.00272,2024-03-29
"ARI",4,4,0.0023,0.00076,0,0.1111,NA,NA,0.00888,0.00111,NA,84.5553,0.5,0,2.4686,2.8288,1.7268,0.0331,0.002,0.00692,0.00148,0.00468,NA,0.00333,2024-03-29
"CIN",2,3,0.00454,NA,3,0.2,NA,0.00333,0.00166,0,0.00333,90.9392,0.6667,6,4.2186,1.3261,0.9032,0.0232,0.00333,NA,0.00127,0.00454,NA,0.00666,2024-03-29
"MIN",2,2,0.0012,0.0012,0,0.1667,NA,0.00333,0.00333,0.00333,NA,88.7047,1,0,3.7186,5.1594,5.5287,0.0143,0.00315,0.0087,0.00142,0.00457,NA,0.00333,2024-03-29
"TEX",4,4,0.00277,0.00222,0,0.2222,0.00833,0.00222,0.00444,0.00333,NA,93.1059,1.5,2.25,3.7186,4.7992,5.2214,0.0078,0.00244,0.00666,0.00098,0.00395,NA,0.00333,2024-03-29
"OAK",3,5.2,0.00166,0.00083,0,0.25,0.007,0.00187,0.0037,0.00437,NA,87.0673,1.0588,3.1765,3.9245,5.7043,4.4733,0.0051,0.00309,0.00583,0.00077,0.00388,NA,0.0037,2024-03-29
"BAL",3,3,0.002,0.002,0,0.1667,0,NA,0.00833,0.00166,NA,85.1743,1.3333,3,4.2186,4.6989,5.5899,-0.0037,0.00153,0.00416,0.00089,0.00303,NA,0,2024-03-29
"SEA",3,4,0.00117,NA,2.25,0.2857,0.00833,0.00333,0.00333,0.00333,0,85.3425,1.25,4.5,5.4686,4.0196,4.2137,-0.0209,0.00459,0.00647,0.00111,0.00412,0.00066,0.00266,2024-03-29
"TBR",3,3.1,0.00133,0,0,0.1429,0.00714,0.00142,0.00428,0.00428,NA,83.261,2.1,5.4,7.4186,8.7153,11.2937,-0.06,0.00204,0.00466,0.00088,0.00352,0.00142,0.00285,2024-03-29
"LAA",4,6.1,0.00111,0.00148,2.8421,0.1111,0.00384,0,0.004,0,0,88.955,1.2632,8.5263,8.2713,6.4409,6.1165,-0.1255,0.00229,0.0037,0.00066,0.00383,0,0,2024-03-29
"HOU",5,4.1,0.00263,0.00157,2.0769,0.2,0.00869,0.00181,0.00545,0.00272,0.00333,87.708,1.3846,4.1538,5.9879,3.9853,4.1323,-0.1626,0.00245,0.00578,0.00105,0.00329,9e-04,0.00272,2024-03-29
"MIA",6,7,0.00272,0.00181,2.5714,0.3125,0.00882,0.00277,0,0.00222,0,83.8384,1.8571,3.8571,6.9329,4.0419,4.4456,-0.3643,0.00242,0.00515,0.00156,0.00453,0.00111,0.00388,2024-03-29
"CHC",6,5,0.00166,0.00208,3.6,0.2308,0.00972,0.00266,0,0.00333,0,87.4255,2,3.6,9.8186,6.0594,6.3098,-0.5285,0.00293,0.00583,0.00074,0.0038,0.00133,0.00333,2024-03-29
"SEA",6,6.1,0.00259,3e-04,1.4211,0.3333,0.00909,0.00263,0.00421,0.00315,0.00166,87.0958,1.2632,2.8421,3.5344,2.8467,2.7348,0.2722,0.00343,0.00555,0.00142,0.0039,0.00052,0.00315,2024-03-30
"DET",3,3,0.00555,NA,0,0,NA,0.002,0.002,0,NA,85.7575,0,0,-0.1147,0.8458,0.1123,0.2557,0.00529,0.00666,0.00258,0.00433,NA,0.002,2024-03-30
"PIT",8,11,0.00243,0.00081,0,0.1667,0.0087,0.00041,0.007,0.00208,NA,83.804,0.6364,0.8182,2.6732,3.3281,2.6223,0.2408,0.00455,0.00567,0.00141,0.004,NA,0.00166,2024-03-30
"NYY",8,8.2,0.00111,0.00083,0,0.3448,NA,0.00241,0.00448,0.0031,NA,86.6651,1.5,0,3.334,4.8302,4.9499,0.161,0.0035,0.00638,0.00084,0.0033,6e-04,0.00344,2024-03-30
"ATL",4,4,0.00466,0.00066,0,0.2857,0.00666,NA,0.00857,0.00142,NA,90.9491,0.75,2.25,0.4686,0.8288,0.8163,0.1396,0.00307,0.00666,0.00185,0.00518,NA,0.00571,2024-03-30
"MIL",3,3,0,0,0,0,NA,0.00285,0.00285,0.00428,NA,89.8411,0.3333,0,2.8853,4.3261,4.3422,0.1237,0.00222,0,0.00111,0,0.00142,0.00571,2024-03-30
"SDP",7,7.1,0.00225,0.00032,2.4545,0.3333,0.00416,0.00136,0.00454,0.00409,0.00222,92.635,1.3636,8.5909,5.2641,3.4868,3.1139,0.1,0.00272,0.00741,0.00111,0.0047,0.0013,0.00434,2024-03-30
"LAD",4,6,0.001,0,0,0.2632,0.00571,0.00368,0.00157,0.00473,NA,83.8312,1,4.5,2.8853,5.0464,4.6178,0.0972,0.003,0.004,0.00103,0.00484,NA,0.00263,2024-03-30
"BOS",5,6,0.004,0.001,1.5,0.3,0.00892,0.00272,0.00454,0.00272,0.00333,93.5093,1.1667,3,3.2186,1.7723,2.0538,0.0911,0.00301,0.007,0.0016,0.00405,9e-04,0.00636,2024-03-30
"ARI",7,6.1,0.002,0.00041,0,0.2941,0.00666,0.00176,0.00705,0.00117,NA,90.7064,0.9474,2.8421,1.7976,2.2526,1.7713,0.0848,0.00333,0.0062,0.00166,0.00466,0.00058,0.0047,2024-03-30
"NYM",3,4.1,0,0.00066,0,0.1818,0.00666,0,0,0,NA,85.2053,0.6923,2.0769,2.5263,4.1887,3.8961,0.0812,0.00187,0.00466,0.00052,0.00438,NA,0.00272,2024-03-30
"CLE",7,7,0.00166,0.00083,0,0.1111,0.007,0.00222,0.00277,0,NA,88.6467,0.5714,1.2857,2.9329,4.7853,4.7339,0.0753,0.00372,0.00708,0.00084,0.00378,NA,0.00277,2024-03-30
"TOR",4,6,0.0023,0.00076,0,0.3333,0.0062,0.00277,0.00444,0.00277,NA,84.916,1.3333,4.5,2.2186,3.4193,3.4088,0.0729,0.00365,0.0073,0.00136,0.00427,0.00055,0.00388,2024-03-30
"WSN",4,4,0,NA,0,0.1818,0.00666,0.00181,0.00272,0.00545,NA,83.1072,0.5,2.25,2.4686,4.6298,3.6252,0.0544,0.00379,0.00666,0.00145,0.00395,NA,0.00181,2024-03-30
"STL",5,6.1,0,0,1.4211,0.25,0.00652,0.00153,0.00461,0.00384,0,88.6,0.9474,4.2632,3.0607,2.1455,1.8906,0.0458,0.00367,0.007,0.00217,0.00467,0.00076,0.00307,2024-03-30
"CHW",3,3,0.002,0.00083,0,0.1429,NA,0.00428,0.00571,NA,NA,90.4149,0.6667,0,3.2186,3.2186,2.6601,0.0393,0,0.00666,0.00195,0.00347,NA,0.00428,2024-03-30
"KCR",3,3,0.00187,0.0012,0,0.4545,0.00714,0.00363,0.00272,0.00363,NA,82.3641,2.3333,6,3.2186,5.1396,4.7728,0.0349,0.002,0.0062,0.00098,0.00344,NA,0.00272,2024-03-30
"CIN",2,3,0.00454,NA,3,0.2,NA,0.00333,0.00166,0,0.00333,90.9392,0.6667,6,4.2186,1.3261,0.9032,0.0232,0.00333,NA,0.00127,0.00454,NA,0.00666,2024-03-30
"MIN",2,2,0.0012,0.0012,0,0.1667,NA,0.00333,0.00333,0.00333,NA,88.7047,1,0,3.7186,5.1594,5.5287,0.0143,0.00315,0.0087,0.00142,0.00457,NA,0.00333,2024-03-30
"TEX",4,4,0.00277,0.00222,0,0.2222,0.00833,0.00222,0.00444,0.00333,NA,93.1059,1.5,2.25,3.7186,4.7992,5.2214,0.0078,0.00244,0.00666,0.00098,0.00395,NA,0.00333,2024-03-30
"TBR",5,6.1,0.00111,0.00222,0,0.1667,0.00666,0.00111,0,0.00388,NA,86.5732,1.4211,4.2632,5.1134,6.7058,7.2916,-0.0023,0.00246,0.00518,0.00084,0.00381,0.00055,0.00388,2024-03-30
"BAL",3,3,0.002,0.002,0,0.1667,0,NA,0.00833,0.00166,NA,85.1743,1.3333,3,4.2186,4.6989,5.5899,-0.0037,0.00153,0.00416,0.00089,0.00303,NA,0,2024-03-30
"OAK",5,9.2,0.0017,0.001,0,0.24,0.00785,0.002,0.002,0.004,NA,86.6725,1.2414,2.7931,4.2531,5.8926,5.3577,-0.018,0.00306,0.0052,0.00107,0.00379,NA,0.003,2024-03-30
"PHI",5,3,0.00227,0.00227,0,0.6667,0.00307,0.00416,0.00416,0.00166,NA,90.7575,4.3333,27,4.8853,5.8458,5.8165,-0.0544,0.0031,0,0.00104,0.00325,0.00083,0,2024-03-30
"SFG",6,5,9e-04,0.00045,1.8,0.3529,0.00526,0.00166,0.00555,0.00277,0,90.4107,1.6,9,6.2186,5.0594,4.3833,-0.0569,0.00327,0.00454,0.00077,0.00322,0.00055,0.00277,2024-03-30
"COL",6,8.2,0.0018,0.00116,1.0385,0.4138,0.00602,0,0.00466,0.00333,0,91.2797,2.0769,8.3077,4.6033,4.7657,4.4843,-0.0638,0.00294,0.00581,7e-04,0.00441,0.00033,0,2024-03-30
"LAA",4,6.1,0.00111,0.00148,2.8421,0.1111,0.00384,0,0.004,0,0,88.955,1.2632,8.5263,8.2713,6.4409,6.1165,-0.1255,0.00229,0.0037,0.00066,0.00383,0,0,2024-03-30
"MIA",9,14,0.00274,0.00112,1.2857,0.3333,0.00769,0.00236,0.00421,0.00342,0.00153,85.5276,1.5,3.8571,4.1472,3.6279,3.4895,-0.1893,0.00241,0.00645,0.00141,0.00482,0.00105,0.00368,2024-03-30
"HOU",9,7.1,0.00195,0.0017,2.4545,0.3913,0.00617,0.00166,0.00583,0.002,0.00333,87.8441,2.4545,8.5909,7.855,5.4883,5.0237,-0.4687,0.00275,0.00585,0.00081,0.00325,0,0.003,2024-03-30
"CHC",6,5,0.00166,0.00208,3.6,0.2308,0.00972,0.00266,0,0.00333,0,87.4255,2,3.6,9.8186,6.0594,6.3098,-0.5285,0.00293,0.00583,0.00074,0.0038,0.00133,0.00333,2024-03-30
"DET",8,9.2,0.00294,0.00088,0,0.1429,NA,0.00238,0.00285,0.00476,NA,91.3354,0.6207,0,2.0807,3.5711,3.1077,0.4445,0.00317,0.00588,0.0016,0.0037,0.00047,0.00476,2024-03-31
"SEA",10,9.1,0,7e-04,0.9643,0.375,0.00775,0.00291,0.00416,0.00291,0.00142,89.3506,1.3929,2.8929,3.0043,2.6921,2.722,0.4019,0.0035,0.0057,0.0014,0.00382,0,0.003,2024-03-31
"PIT",12,14.1,0.00244,0.00061,0,0.1818,0,0.00121,0.00666,0.00212,NA,83.6692,0.6279,0.6279,2.3814,3.085,2.5318,0.3334,0.00456,0.0055,0.00145,0.00397,3e-04,0.00212,2024-03-31
"WSN",8,8.2,0.00264,0.00058,0,0.2273,0.0062,0.00227,0.00363,0.00409,NA,86.9207,0.8077,3.1154,2.1802,3.6763,3.003,0.2628,0.00408,0.00588,0.0016,0.00398,NA,0.00409,2024-03-31
"NYY",10,11.2,0.0013,0.00065,0,0.2778,NA,0.00194,0,0.00305,NA,87.1174,1.1143,0,3.2186,4.5771,4.3652,0.2166,0.00371,0.0063,0.00114,0.0034,0.00055,0.00305,2024-03-31
"BOS",10,9.1,0.0039,0.00097,0.9643,0.35,0.0066,0.00428,0.0038,0.0019,0.002,87.0388,1.2857,2.8929,2.4686,1.6932,2.1489,0.1957,0.00307,0.00609,0.00172,0.00402,0.00047,0.00476,2024-03-31
"LAD",9,11,0.00183,0.00061,0,0.2857,0,0.00323,0.00205,0.0047,NA,87.6619,1.1818,5.7273,2.9459,5.0415,4.3129,0.1951,0.00333,0.0055,0.00142,0.00485,0.00057,0.00342,2024-03-31
"CLE",10,12,0.00333,0.00071,0,0.087,0.00857,0.00173,0.0026,0.00565,NA,89.6197,0.4167,0.75,2.1353,3.6961,2.586,0.1902,0.00355,0.00571,0.00146,0.00374,NA,0.00304,2024-03-31
"CIN",7,7.1,0.00363,6e-04,2.4545,0.375,0.00487,0.00222,0.00388,0.00388,0.00285,89.5431,1.3636,8.5909,4.7186,2.5484,2.0072,0.1813,0.00409,0.00666,0.00152,0.00362,0.00111,0.00555,2024-03-31
"NYM",8,8.1,0.00272,6e-04,0,0.2727,0.007,0.00142,0.00523,0.00333,NA,86.9221,0.96,2.16,1.7786,2.9889,2.764,0.163,0.00228,0.00545,0.00101,0.00453,NA,0.00363,2024-03-31
"MIN",6,5.2,0.00318,0.00136,0,0.25,NA,0.002,0.00333,0.00416,NA,91.0824,1.0588,0,2.3363,3.6075,3.3871,0.1405,0.00313,0.00772,0.00115,0.00463,NA,0.00416,2024-03-31
"CHW",9,8,0.00181,6e-04,1.125,0.2174,0.00789,0.00166,0.00458,0.0037,0.00111,92.3118,1,2.25,4.4686,4.4645,3.8823,0.126,0.00436,0.00727,0.00132,0.00413,0.00083,0.00416,2024-03-31
"TOR",8,9.2,0.0019,0.00071,0,0.3548,0.00642,0,0,0,NA,87.1606,1.4483,4.6552,2.4945,3.8359,3.8846,0.1069,0.00361,0.00785,0.00099,0.00403,0.00032,0.00387,2024-03-31
"TEX",8,8,0.00225,0.00161,0,0.2105,0.00888,0.00263,0.00421,0.00315,NA,91.2766,1.125,1.125,3.3436,4.4242,4.734,0.0673,0.00243,0.0058,0.00116,0.00395,0.00052,0.00421,2024-03-31
"BAL",7,6,0.00259,0.00111,0,0.3529,0.00444,0.00235,0.00529,0.00235,NA,92.7928,1.5,6,2.3853,3.3458,3.4077,0.0578,0.00234,0.00444,0.00087,0.00357,NA,0.00529,2024-03-31
"STL",10,12.1,0.00345,9e-04,1.4595,0.4138,0.0067,0.00161,0.00419,0.00419,0.00153,89.9807,1.5405,5.8378,3.4619,2.8724,2.5117,0.0508,0.00353,0.00618,0.0019,0.00411,0.00064,0.00451,2024-03-31
"TBR",9,9.1,0.00179,0.00179,0,0.2,0.00666,0,0.004,0.003,NA,85.8418,1.2857,3.8571,3.9686,5.3579,5.6169,0.0417,0.00284,0.0041,0.00101,0.00392,0,0.003,2024-03-31
"ATL",9,12.1,0.00222,0.00066,0.7297,0.2258,0.00937,0.00156,0.00593,0.002,0.0012,87.2738,0.8919,1.4595,3.3808,3.2613,3.0434,0.0258,0.00289,0.00622,0.00133,0.00493,0.00031,0.00312,2024-03-31
"ARI",10,11.1,0.00239,0.00108,0.7941,0.2759,0.00634,0.00233,0.00533,0.00233,0.00142,90.9919,1.2353,4.7647,3.748,3.4909,3.5585,0.0166,0.00371,0.00652,0.00154,0,0,0.00466,2024-03-31
"MIL",8,8,0.00225,0.00032,2.25,0.1905,0.00714,0.0026,0.00304,0.00434,0,91.9093,0.875,4.5,5.0936,3.6446,3.2925,-0.006,0.0032,0.00709,0.00117,0.00522,0.0013,0.00434,2024-03-31
"MIA",13,19,0.00238,0.00102,0.9474,0.375,0.0065,0.00206,0.00448,0.00344,0,85.7973,1.6842,5.2105,3.7976,3.9457,3.7167,-0.0447,0.00265,0.00568,0.0012,0.00483,0.00086,0.00362,2024-03-31
"COL",11,13,0.00163,0.0018,0.6923,0.359,0.00731,0,0.0047,0.0032,0.00076,90.6892,2,5.5385,5.2186,5.6594,5.7667,-0.0476,0.00274,0.00557,0.00068,0.00376,2e-04,0.0047,2024-03-31
"OAK",10,15,0.00171,0.00128,0.6,0.3111,0.00664,0.00222,0.00311,0.00466,0.00047,84.8813,1.6,4.8,4.8853,6.0357,5.0942,-0.0846,0.00333,0.00542,0.00106,0.00363,0.00021,0.00304,2024-03-31
"KCR",6,6,0.00147,0.00117,0,0.4545,0.00588,0.00318,0.00318,0.00363,NA,86.9861,2.3333,10.5,5.052,6.973,5.1597,-0.1039,0.00272,0,0.0014,0.00363,9e-04,0.00363,2024-03-31
"SFG",10,9,0.00142,0.0011,3,0.2963,0.00468,0.00166,0.00533,0,0.00333,90.9812,1.7778,11,8.2186,5.3261,4.8948,-0.1361,0.00314,0.00547,9e-04,0.00389,0.00066,0.00366,2024-03-31
"LAA",8,9.1,0.00155,0.00111,2.8929,0.2667,0.00169,0.00151,0.00363,0.00484,0.00187,92.555,1.7143,12.5357,7.5044,5.7956,5.0502,-0.1593,0.00239,0.00444,0.00072,0.00393,0.00151,0.00575,2024-03-31
"SDP",11,11.2,0.00211,0.00038,3.0857,0.3429,0.00403,0.00131,0.00447,0.00421,0.002,93.3879,1.5429,10.0286,6.3044,3.8231,3.3548,-0.1703,0.00264,0.00769,0.00097,0.0048,0.00179,0.00512,2024-03-31
"PHI",10,7.2,0.00162,0.00162,2.3478,0.4815,0.00416,0.00275,0.00448,0.00275,0.002,89.9853,2.8696,16.4348,7.523,5.6351,5.4494,-0.2346,0.00381,0.00488,0.00105,0.00356,6e-04,0.00517,2024-03-31
"CHC",10,9.1,0.00173,0.00152,2.8929,0.3214,0.00675,0.00225,0.00451,0.00322,0,90.455,2.0357,7.7143,7.9329,5.298,5.1861,-0.484,0.00342,0.00608,0.00111,0.00396,0.00161,0.00451,2024-03-31
"HOU",14,12.1,0.00229,0.00163,3.6486,0.3226,0.00684,0.00142,0.00542,0.00314,0.00454,88.1711,2.027,8.027,8.8943,4.909,4.6449,-0.8055,0.00255,0.0054,0.00088,0.0034,0.00083,0.00361,2024-03-31
"PIT",17,20.1,0,0.00057,0.4426,0.1628,0.00948,0.00113,0.0059,0.00295,0.00076,86.5002,0.5902,0.8852,2.5301,2.8119,2.327,0.5285,0.00416,0.00514,0.00168,0.00399,0.00068,0.00295,2024-04-01
"SEA",13,13.1,0.002,0.00071,0.675,0.3514,0.00783,0.00297,0.00432,0.0027,0,90.3149,1.35,2.7,2.9936,3.0992,3.1496,0.44,0.00351,0.0066,0.00127,0.00415,0.00052,0.00447,2024-04-01
"LAD",12,15,0.00242,0.00075,0,0.2619,0.00473,0,0.002,0.004,NA,87.9087,1.0667,4.2,2.6853,4.4142,3.572,0.3508,0.00335,0.0056,0.00151,0.00442,0.00047,0.00309,2024-04-01
"DET",11,12.2,0.00318,9e-04,0.7105,0.12,NA,0.00192,0.00346,0.00461,0.00083,90.7568,0.6316,0.7105,2.9818,3.3204,2.819,0.3395,0.00318,0.00613,0.00144,0.0036,0.00076,0,2024-04-01
"BOS",13,13.1,0.00327,9e-04,0.675,0.2581,0.00714,0.0037,0.00343,0.00281,0.00111,88.1238,1.05,2.025,2.6186,2.6161,2.675,0.3051,0.0029,0.00581,0.00161,0.00428,0.00031,0,2024-04-01
"NYY",14,15.1,0.0014,0.00078,0,0.3061,NA,0.00204,0.0053,0.00265,NA,86.6776,1.3043,0,3.2186,4.4401,4.2465,0.2704,0.00379,0.00656,0.00111,0.00376,0.00061,0.00285,2024-04-01
"NYM",11,13.1,0.00267,0.00089,0,0.3333,0.00764,0.00257,0.00428,0.00314,NA,88.1049,1.275,2.7,2.0936,3.2823,3.2278,0.2254,0.00243,0.00553,0.00109,0.00452,0.00027,0.00361,2024-04-01
"CHW",14,12.1,0.0023,0.00096,0.7297,0.2424,0.00808,0.00176,0,0.00323,9e-04,91.2306,1.1351,2.1892,3.7862,4.0171,3.6514,0.2089,0.00394,0.00673,0.0013,0.00438,0.00058,0.00441,2024-04-01
"MIL",10,12,0.00266,0.00022,1.5,0.2,0.00806,0.002,0.00312,0.00437,0.00142,91.0604,0.75,3,3.6353,3.1495,2.7177,0.1845,0.00324,0.00644,0.00119,0.00515,0.00093,0.00437,2024-04-01
